Individual,Individual2,Photo Number,Photo,Measurement Number,Left Testis Width,Left Testis Length,Left Testis Volume,Right Testis Width,Right Testis Length,Right Testis Volume,Total Testes Volume,Average Photo Volume,Final Measurement
,11,000-1052,3,4,3.476,3.493,22.09819204,3.184,3.298,17.50634133,39.60453337,,
,11,000-1052,3,5,3.556,3.489,23.10059129,3.188,3.307,17.59824837,40.69883966,39.22047208,
,11,000-1056,4,1,3.277,3.355,18.86444487,3.136,3.2,16.47785621,35.34230107,,
,11,000-1056,4,2,3.281,3.53,19.89691701,3.21,3.424,18.47321323,38.37013024,,
,11,000-1056,4,3,3.424,3.353,20.58257411,3.07,3.513,17.33618461,37.91875872,,
,11,000-1056,4,4,3.296,3.498,19.89723977,3.154,3.504,18.25097616,38.14821593,,
,11,000-1056,4,5,3.349,3.352,19.68488706,3.136,3.421,17.61585815,37.30074521,37.41603023,38.00198019
G13 AM1,12,000-0832,1,1,3.506,3.553,22.86744553,3.234,3.603,19.73071918,42.59816472,,
,12,000-0832,1,2,3.511,3.6,23.23607566,3.264,3.698,20.62841355,43.86448921,,
,12,000-0832,1,3,3.411,3.503,21.34038246,3.172,3.747,19.74006929,41.08045174,,
,12,000-0832,1,4,3.456,3.512,21.96345189,3.286,3.745,21.1731543,43.1366062,,
,12,000-0832,1,5,3.5,3.551,22.77641584,3.141,3.694,19.0823293,41.85874514,42.5076914,
,12,000-0833,2,1,3.219,3.463,18.78854145,3.136,3.652,18.80535339,37.59389484,,
,12,000-0833,2,2,3.363,3.429,20.30578774,3.292,3.786,21.48319572,41.78898346,,
,12,000-0833,2,3,3.362,3.501,20.71982826,3.001,3.641,17.16924872,37.88907698,,
,12,000-0833,2,4,3.309,3.644,20.89154338,3.151,3.858,20.05661564,40.94815902,,
,12,000-0833,2,5,3.427,3.498,21.51030836,3.139,3.71,19.14058307,40.65089143,39.77420115,41.14094627
G14 AM1,13,000-0940,1,1,3.024,3.37,16.13585925,2.958,3.265,14.95815907,31.09401831,,
,13,000-0940,1,2,3.163,3.396,15.14998794,2.874,3.503,17.78953875,32.93952669,,
,13,000-0940,1,3,2.949,3.382,15.40003723,2.867,3.635,15.64438241,31.04441964,,
,13,000-0940,1,4,2.937,3.312,14.95880302,2.867,3.496,15.04615156,30.00495458,,
,13,000-0940,1,5,3.009,3.513,16.65409921,2.797,3.706,15.18060115,31.83470037,31.38352392,
,13,000-0947,2,1,2.84,3.077,12.9945965,2.848,3.38,14.35473874,27.34933524,,
,13,000-0947,2,2,3.059,3.124,15.30624292,3.031,3.498,16.8263648,32.13260771,,
,13,000-0947,2,3,3.108,3.504,17.72249,3.067,3.356,16.52905887,34.25154887,,
,13,000-0947,2,4,2.954,3.257,14.88117976,3.083,3.511,17.47336308,32.35454284,,
,13,000-0947,2,5,2.966,3.244,14.94244828,2.951,3.399,15.49844784,30.44089611,31.30578615,
,13,000-0955,3,1,3.161,3.547,18.55704421,2.809,3.604,14.88973207,33.44677628,,
,13,000-0955,3,2,3.085,3.394,16.91300577,3.16,3.615,18.90083928,35.81384505,,
,13,000-0955,3,3,2.966,3.519,16.20914781,2.993,3.71,17.40147114,33.61061895,,
,13,000-0955,3,4,3.11,3.541,17.9326853,2.989,3.604,16.85913292,34.79181822,,
,13,000-0955,3,5,3.065,3.35,16.47799577,3.002,3.494,16.48704786,32.96504364,34.12562043,
,13,000-0990,4,1,3.18,3.299,17.46767801,3.046,3.565,17.31880628,34.78648429,,
,13,000-0990,4,2,3.219,3.354,18.19716085,3.178,3.643,19.26484767,37.46200852,,
,13,000-0990,4,3,3.112,3.392,17.20020577,3.141,3.451,17.82704884,35.02725462,,
,13,000-0990,4,4,3.089,3.459,17.28164187,3.074,3.362,16.63428192,33.91592379,,
,13,000-0990,4,5,3.017,3.361,16.01834913,3.047,3.396,16.50863678,32.52698591,34.74373143,32.88966548
G15 AM1,14,000-0996,1,1,3.68,3.394,24.0661211,3.369,3.356,19.94447443,44.01059553,,
,14,000-0996,1,2,3.61,3.525,24.0531604,3.187,3.321,17.66166426,41.71482467,,
,14,000-0996,1,3,3.53,3.485,22.73792426,3.063,3.424,16.82001474,39.557939,,
,14,000-0996,1,4,3.622,3.36,23.07994617,3.176,3.339,17.63502294,40.71496911,,
,14,000-0996,1,5,3.575,3.436,22.99343575,3.316,3.556,20.47337392,43.46680967,41.89302759,41.89302759
G20 AM1,15,000-1020,1,1,3.526,4.163,27.10002235,4.036,3.341,28.49557423,55.59559658,,
,15,000-1020,1,2,3.472,4.083,25.77136579,3.953,3.161,25.86287179,51.63423758,,
,15,000-1020,1,3,3.513,4.017,25.95713487,3.986,3.198,26.60428983,52.5614247,,
,15,000-1020,1,4,3.658,4.227,29.61544566,4.104,3.377,29.78135045,59.39679611,,
,15,000-1020,1,5,3.589,4.156,28.02986963,3.884,3.115,24.6045324,52.63440203,54.3644914,54.3644914
G21 AM1,16,000-1031,1,1,3.447,3.447,21.44482332,3.268,3.728,20.84676265,42.29158597,,
,16,000-1031,1,2,3.364,3.402,20.15788234,3.034,3.776,18.19959656,38.35747889,,
,16,000-1031,1,3,3.183,3.456,18.33351057,3.177,3.8,20.08244788,38.41595846,,
,16,000-1031,1,4,3.308,3.606,20.66119071,3.292,3.731,21.17110492,41.83229563,,
,16,000-1031,1,5,3.508,3.71,23.90516256,3.341,3.625,21.18651791,45.09168047,41.19779988,41.19779988
G22 AM1,17,000-1074,1,1,3.565,3.898,25.93937606,3.028,4.035,19.37108305,45.31045911,,
,17,000-1074,1,2,3.657,4.116,28.82198641,3.027,4.312,20.68722397,49.50921038,,
,17,000-1074,1,3,3.612,4.012,27.40659171,2.996,4.214,19.80508778,47.21167949,,
,17,000-1074,1,4,3.717,3.921,28.36485624,2.987,4.225,19.73766533,48.10252157,,
,17,000-1074,1,5,3.604,4.098,27.87020358,2.993,4.201,19.70446907,47.57467265,47.54170864,47.54170864
G17 AM1,18,000-1138,1,1,2.619,3.011,10.81385084,2.761,3.279,13.08798692,23.90183775,,
,18,000-1138,1,2,2.535,3.035,10.21205735,2.715,3.436,13.26146323,23.47352057,,
,18,000-1138,1,3,2.617,3.046,10.92284992,2.688,3.301,12.48828138,23.4111313,,
,18,000-1138,1,4,2.571,3.039,10.51800749,2.788,3.287,13.37777432,23.89578181,,
,18,000-1138,1,5,2.513,2.908,9.615635711,2.655,3.342,12.33485699,21.9504927,23.32655283,23.32655283
